,index,Rank,Song,Performer,SongID,spotify_genre,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Datetime,Year
459,17692,8,Speed Of Sound,Coldplay,Speed Of SoundColdplay,"['permanent wave', 'pop']",70.0,0.523,0.898,11.0,-6.765,0.0,0.0567,0.00491,0.0345,0.0746,0.355,123.085,4.0,2005-05-07,2005
460,19168,8,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",68.0,0.544,0.92,5.0,-1.474,0.0,0.27699999999999997,0.244,0.0,0.19,0.519,105.307,5.0,2009-10-03,2009
461,18753,8,Tonight,Jonas Brothers,TonightJonas Brothers,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",55.0,0.47,0.945,4.0,-4.513,1.0,0.0841,0.0005639999999999999,1.67e-05,0.382,0.8,155.88299999999998,4.0,2008-08-16,2008
462,18582,9,New Soul,Yael Naim,New SoulYael Naim,[],61.0,0.769,0.371,0.0,-8.522,1.0,0.0326,0.733,3.73e-05,0.106,0.653,100.001,4.0,2008-02-16,2008
463,16558,9,Stutter,Joe Featuring Mystikal,StutterJoe Featuring Mystikal,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']",53.0,0.767,0.759,6.0,-6.516,1.0,0.11699999999999999,0.0513,0.0,0.31,0.677,89.98899999999999,4.0,2001-04-28,2001
464,18370,9,Don't Matter,Akon,Don't MatterAkon,"['dance pop', 'pop', 'pop rap']",67.0,0.79,0.457,2.0,-6.231,1.0,0.0414,0.24,0.0,0.222,0.355,125.249,4.0,2007-05-26,2007
465,17762,9,Don't Phunk With My Heart,The Black Eyed Peas,Don't Phunk With My HeartThe Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",54.0,0.691,0.929,5.0,-2.73,0.0,0.0645,0.00877,0.0,0.47200000000000003,0.574,130.899,4.0,2005-08-13,2005
466,17854,9,Shake It Off,Mariah Carey,Shake It OffMariah Carey,"['dance pop', 'pop', 'r&b', 'urban contemporary']",59.0,0.7659999999999999,0.49,2.0,-6.553,1.0,0.147,0.21,0.0,0.11,0.8320000000000001,134.143,4.0,2005-11-19,2005
467,17923,9,Stickwitu,The Pussycat Dolls,StickwituThe Pussycat Dolls,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",65.0,0.652,0.551,9.0,-6.2989999999999995,1.0,0.052000000000000005,0.289,0.0,0.0778,0.37200000000000005,79.995,4.0,2006-02-11,2006
468,18656,9,Forever,Chris Brown,ForeverChris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",73.0,0.672,0.82,11.0,-4.456,1.0,0.0459,0.0368,0.000188,0.184,0.43799999999999994,120.005,4.0,2008-05-10,2008
469,19222,9,Bad Romance,Lady Gaga,Bad RomanceLady Gaga,"['dance pop', 'pop']",80.0,0.696,0.9209999999999999,0.0,-3.755,1.0,0.0363,0.00314,5.24e-05,0.0842,0.7140000000000001,119.001,4.0,2009-11-14,2009
470,19008,9,We Made You,Eminem,We Made YouEminem,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",66.0,0.922,0.8590000000000001,2.0,-1.1520000000000001,1.0,0.079,0.10099999999999999,1.12e-06,0.139,0.616,114.001,4.0,2009-05-02,2009
471,18775,9,So What,P!nk,So WhatP!nk,"['dance pop', 'pop', 'post-teen pop']",69.0,0.534,0.87,11.0,-3.0780000000000003,0.0,0.0425,0.00032900000000000003,0.0,0.24100000000000002,0.462,126.01899999999999,4.0,2008-09-06,2008
472,18669,9,Pocketful Of Sunshine,Natasha Bedingfield,Pocketful Of SunshineNatasha Bedingfield,"['dance pop', 'europop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",62.0,0.721,0.88,9.0,-3.8960000000000004,0.0,0.0454,0.191,0.0,0.0769,0.655,110.021,4.0,2008-05-24,2008
473,18835,9,Fearless,Taylor Swift,FearlessTaylor Swift,"['pop', 'post-teen pop']",60.0,0.594,0.7120000000000001,5.0,-4.418,1.0,0.0273,0.04,0.0,0.309,0.47600000000000003,99.97200000000001,4.0,2008-11-01,2008
474,18520,9,Cyclone,Baby Bash Featuring T-Pain,CycloneBaby Bash Featuring T-Pain,"['chicano rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'latin hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",64.0,0.644,0.725,11.0,-4.622,1.0,0.0701,0.0112,0.0,0.146,0.584,77.977,4.0,2007-12-01,2007
475,17271,9,Step In The Name Of Love,R. Kelly,Step In The Name Of LoveR. Kelly,[],47.0,0.775,0.53,1.0,-6.564,0.0,0.11900000000000001,0.2,0.0,0.231,0.775,94.985,4.0,2003-12-13,2003
