Pos_Score,Neu_Score,Neg_Score,Comp_Score
0.31,0.683,0.007,0.9995
0.194,0.75,0.056,0.9925
0.182,0.789,0.03,0.9981
0.092,0.759,0.149,-0.9819
0.238,0.614,0.148,0.9924
0.256,0.65,0.094,0.9968
0.25,0.744,0.006,0.9985
0.218,0.681,0.101,0.9885
0.084,0.883,0.033,0.9652
0.338,0.598,0.064,0.9992
0.257,0.707,0.036,0.9965
0.148,0.809,0.043,0.9604
0.16,0.69,0.15,0.913
0.133,0.739,0.128,0.3313
0.129,0.849,0.022,0.9944
0.141,0.819,0.04,0.967
0.087,0.791,0.122,-0.8658
0.144,0.792,0.064,0.9943
0.133,0.794,0.073,0.984
0.212,0.76,0.028,0.9928
0.101,0.89,0.009,0.9944
0.218,0.753,0.029,0.9977
0.174,0.819,0.007,0.9971
0.102,0.823,0.075,0.2973
0.197,0.764,0.04,0.9958
0.086,0.709,0.205,-0.9917
0.211,0.783,0.005,0.9978
0.252,0.682,0.067,0.9995
0.226,0.734,0.04,0.9961
0.295,0.69,0.015,0.9945
0.163,0.755,0.083,0.9888
0.319,0.67,0.011,0.9958
0.162,0.584,0.254,-0.992
0.22,0.719,0.061,0.9958
0.378,0.568,0.054,0.9984
0.215,0.719,0.066,0.9979
0.079,0.852,0.069,0.6995
0.298,0.615,0.087,0.998
0.246,0.708,0.046,0.9962
0.369,0.576,0.055,0.9981
0.169,0.772,0.059,0.9983
0.061,0.79,0.148,-0.9408
0.08,0.886,0.035,0.9829
0.304,0.679,0.017,0.9987
0.138,0.747,0.115,0.5587
0.032,0.909,0.059,-0.8048
0.189,0.768,0.042,0.9956
0.175,0.67,0.155,0.47
0.163,0.806,0.031,0.9878
0.155,0.816,0.029,0.9873
0.07,0.846,0.084,-0.333
0.097,0.762,0.141,-0.9868
0.202,0.656,0.142,0.9816
0.052,0.733,0.215,-0.9991
0.199,0.782,0.019,0.9978
0.312,0.688,0.0,0.9964
0.1,0.81,0.09,0.7972
0.199,0.793,0.008,0.9958
0.087,0.886,0.027,0.9435
0.123,0.756,0.121,0.3487
0.298,0.702,0.0,0.9983
0.24,0.706,0.054,0.9992
0.091,0.785,0.124,-0.8998
0.162,0.778,0.061,0.996
0.16,0.747,0.093,0.9793
0.198,0.679,0.123,0.9817
0.145,0.786,0.069,0.9773
0.081,0.833,0.086,-0.4563
0.186,0.8,0.014,0.9961
0.19,0.81,0.0,0.9938
0.096,0.866,0.038,0.9874
0.141,0.835,0.025,0.9958
0.15,0.747,0.103,0.9908
,,,
0.087,0.703,0.209,-0.9994
0.167,0.768,0.065,0.9844
0.129,0.828,0.043,0.9977
0.112,0.722,0.166,-0.9807
0.189,0.752,0.059,0.9812
0.13,0.849,0.021,0.9781
0.223,0.661,0.116,0.9974
0.354,0.581,0.065,0.9999
0.114,0.86,0.026,0.9947
0.113,0.837,0.05,0.9952
0.261,0.554,0.185,0.9967
0.058,0.738,0.203,-0.9989
0.052,0.942,0.006,0.9274
0.17,0.701,0.129,0.9688
0.173,0.678,0.149,0.9727
0.258,0.709,0.034,0.9994
0.168,0.683,0.149,0.9787
0.197,0.665,0.138,0.9921
0.03,0.785,0.185,-0.9983
0.173,0.776,0.051,0.993
0.136,0.808,0.056,0.9947
0.144,0.679,0.177,-0.6801
0.153,0.739,0.108,0.8906
0.11,0.879,0.012,0.994
0.139,0.752,0.109,0.8332
0.167,0.738,0.095,0.9996
0.116,0.804,0.08,0.973
0.07,0.866,0.065,-0.3184
0.031,0.935,0.034,0.327
0.189,0.78,0.032,0.999
0.228,0.741,0.031,0.9993
0.218,0.759,0.022,0.9996
0.098,0.853,0.049,0.9347
0.081,0.833,0.086,0.2349
0.061,0.861,0.078,0.3512
0.073,0.886,0.041,0.9766
0.11,0.77,0.119,-0.7631
0.127,0.769,0.104,0.9663
0.022,0.929,0.048,-0.7392
0.079,0.7,0.221,-0.9991
0.307,0.554,0.139,0.9995
0.063,0.793,0.145,-0.988
0.147,0.695,0.158,-0.8353
0.207,0.78,0.013,0.9996
0.315,0.576,0.109,0.9988
0.013,0.824,0.163,-0.9973
0.197,0.764,0.039,0.999
0.083,0.716,0.201,-0.9933
0.087,0.83,0.083,0.1672
0.177,0.744,0.079,0.9982
0.109,0.774,0.117,-0.4788
0.018,0.972,0.01,0.3839
0.082,0.739,0.179,-0.9994
0.138,0.809,0.053,0.978
0.216,0.605,0.179,0.9042
0.103,0.654,0.243,-0.999
0.173,0.682,0.145,0.9805
0.146,0.754,0.1,0.9809
0.156,0.649,0.195,0.95
0.182,0.818,0.0,0.9978
0.235,0.75,0.015,0.999
0.384,0.407,0.209,0.9991
0.168,0.76,0.072,0.9982
0.081,0.849,0.071,0.918
0.271,0.671,0.058,0.9993
0.293,0.676,0.031,0.9989
0.118,0.833,0.049,0.9944
0.221,0.776,0.003,0.999
0.072,0.865,0.063,-0.5116
0.208,0.728,0.064,0.9929
0.137,0.719,0.144,-0.2976
0.083,0.872,0.044,0.9446
0.095,0.888,0.017,0.9947
0.178,0.811,0.011,0.9979
0.078,0.811,0.111,-0.9777
0.166,0.806,0.028,0.9925
0.189,0.735,0.076,0.9936
0.133,0.833,0.034,0.9879
0.307,0.66,0.033,0.994
0.094,0.772,0.133,-0.9342
0.061,0.75,0.19,-0.9982
0.163,0.786,0.051,0.9857
0.037,0.828,0.135,-0.9969
0.179,0.712,0.109,0.9651
0.12,0.695,0.185,-0.9959
0.067,0.891,0.042,0.8945
0.1,0.818,0.082,0.8111
0.141,0.827,0.032,0.9983
0.049,0.836,0.115,-0.9944
0.141,0.725,0.134,-0.8941
0.15,0.782,0.068,0.9972
0.135,0.716,0.149,-0.976
0.121,0.785,0.094,0.9563
0.081,0.768,0.151,-0.9886
0.164,0.733,0.102,0.9869
0.01,0.99,0.0,0.8089
0.258,0.684,0.058,0.9984
,,,
0.0,0.61,0.39,-0.9806
0.138,0.746,0.116,0.7271
0.113,0.865,0.022,0.9915
0.117,0.682,0.201,-0.9946
0.222,0.742,0.036,0.9968
0.158,0.78,0.062,0.9958
0.072,0.778,0.15,-0.9175
0.21,0.637,0.153,0.9796
0.117,0.749,0.133,-0.9593
0.151,0.775,0.074,0.9848
0.26,0.68,0.059,0.9974
0.074,0.769,0.158,-0.9819
0.306,0.685,0.009,0.9996
0.179,0.807,0.014,0.9958
0.201,0.606,0.194,-0.7746
0.117,0.774,0.109,0.7119
0.204,0.653,0.143,0.9862
0.058,0.871,0.071,-0.8038
,,,
0.19,0.723,0.087,0.9911
0.251,0.703,0.046,0.9986
0.136,0.723,0.141,0.2019
0.11,0.713,0.177,-0.9975
0.226,0.647,0.127,0.9912
0.216,0.769,0.014,0.9996
0.227,0.733,0.04,0.9985
0.126,0.853,0.021,0.9903
0.174,0.688,0.138,0.9748
0.051,0.656,0.293,-0.9997
0.097,0.685,0.218,-0.9996
0.101,0.776,0.122,-0.9766
0.18,0.752,0.069,0.996
0.106,0.716,0.177,-0.9985
0.143,0.747,0.11,0.976
0.005,0.895,0.1,-0.9864
0.161,0.747,0.092,0.99
0.126,0.783,0.091,0.9566
0.024,0.68,0.295,-0.999
0.155,0.72,0.125,0.9734
0.075,0.814,0.112,-0.9883
0.14,0.746,0.114,0.7234
0.004,0.922,0.074,-0.9913
0.176,0.729,0.094,0.9954
0.198,0.701,0.101,0.997
0.018,0.953,0.029,-0.717
0.098,0.758,0.144,-0.9757
0.113,0.843,0.044,0.9913
0.0,1.0,0.0,0.0
0.068,0.888,0.044,0.9117
0.163,0.641,0.196,-0.7569
,,,
0.163,0.809,0.027,0.9972
0.219,0.7,0.081,0.9968
0.162,0.683,0.155,0.9107
0.146,0.746,0.109,0.9905
0.205,0.768,0.026,0.9993
0.199,0.639,0.162,0.9364
0.099,0.718,0.183,-0.9963
0.127,0.85,0.023,0.9969
0.18,0.542,0.278,-0.9956
0.015,0.945,0.04,-0.9737
0.074,0.881,0.045,0.9274
0.198,0.776,0.026,0.9978
0.15,0.78,0.07,0.9881
0.161,0.687,0.152,-0.8136
0.218,0.718,0.064,0.9963
0.227,0.701,0.072,0.9988
0.214,0.627,0.159,0.9904
0.13,0.745,0.125,-0.7769
0.099,0.813,0.088,-0.3643
0.246,0.67,0.084,0.9985
0.113,0.652,0.234,-0.9979
0.152,0.688,0.16,-0.9758
0.093,0.793,0.114,-0.9616
0.123,0.783,0.094,0.9281
0.089,0.636,0.276,-0.9967
0.304,0.685,0.01,0.9995
0.125,0.832,0.043,0.9954
0.105,0.754,0.141,-0.9851
0.168,0.816,0.016,0.9974
0.14,0.691,0.169,-0.9798
0.112,0.757,0.132,-0.9966
0.14,0.798,0.062,0.9851
0.137,0.704,0.158,-0.9921
0.161,0.718,0.121,0.9862
0.189,0.767,0.044,0.9958
0.099,0.781,0.12,-0.8895
0.103,0.854,0.043,0.9686
0.142,0.814,0.044,0.9928
0.153,0.813,0.034,0.9972
0.133,0.676,0.191,-0.985
0.197,0.788,0.015,0.9967
0.128,0.824,0.048,0.9863
0.24,0.745,0.015,0.9985
